Time resolution is 1 ps
Starting Automated ALU Regression...
TIME: 880000 | OP:  8 | A: 102 | B: 112 | RESULT:   204
TIME: 890000 | OP:  8 | A: 115 | B: 186 | RESULT:   230
TIME: 900000 | OP:  8 | A:  94 | B: 250 | RESULT:   188
TIME: 910000 | OP:  9 | A: 213 | B:  26 | RESULT:   106
TIME: 920000 | OP:  9 | A: 185 | B:  55 | RESULT:    92
TIME: 930000 | OP:  9 | A: 150 | B: 192 | RESULT:    75
TIME: 940000 | OP:  9 | A:  38 | B: 182 | RESULT:    19
TIME: 950000 | OP:  9 | A: 125 | B: 220 | RESULT:    62
TIME: 960000 | OP:  9 | A: 134 | B: 120 | RESULT:    67
TIME: 970000 | OP:  9 | A: 126 | B: 219 | RESULT:    63
TIME: 980000 | OP:  9 | A: 207 | B: 121 | RESULT:   103
TIME: 990000 | OP:  9 | A: 250 | B:  97 | RESULT:   125
TIME: 1000000 | OP:  9 | A:  23 | B: 161 | RESULT:    11
